band,album,song
Danny Blu,MOLOTOV,VIOLENCE
State of the Union,My Time Away,Dancing in the Dark
Future Lied to Us,Presence,Faling
Rotersand,Welcome to Goodbye,Undone
Necessary Response,Blood Spills Not Far From The Wound,Forever
Solar Fake,You Win. Who Cares?,Papillon
Lights of Euphoria,Access Denied,Access Denied
Wolfsheim,Find You're Here,Find You're Here
mind.in.a.box,8 Bits,8 Bits (Club Edit)
VNV Nation,Futureperfect,Electronaut
Reichsfiend,Persona,Persona - Single Edit
Solar Fake,Another Manic Episode (Deluxe Edition),All the Things You Say
Eisfabrik,Eisplanet,Walking Towards the Sun
Neuroticfish,Velocity N20,Velocity N20
Covenant,Northern Light,Call the Ships to Port
Faderhead,Years of the Serpent,All Black Everything
Icon of Coil,Serenity is the Devil,Floorkiller
Ayria,Paper Dolls,Feer Her to the Wolves
Solitary Experiments,Awake the Machines (Vol. 6),Seele Bricht (feat. Feindflug)
Beborn Beton,Darkness Falls Again,Dancer in the Dark
Faderhead,Burn All Night,Burn All Night (feat Electra Black)
Icon of Coil,Machines Are Us,Dead Enough For Life